iter	Passed	Remaining
0	205	20334
1	219	10778
2	231	7476
3	241	5787
4	252	4799
5	263	4135
6	275	3665
7	287	3308
8	295	2983
9	303	2728
10	313	2538
11	324	2381
12	336	2249
13	346	2128
14	356	2022
15	369	1942
16	379	1852
17	393	1792
18	406	1734
19	420	1682
20	434	1633
21	445	1580
22	456	1527
23	468	1484
24	480	1441
25	490	1396
26	499	1351
27	510	1312
28	518	1269
29	529	1235
30	538	1199
31	550	1168
32	556	1130
33	568	1102
34	580	1077
35	591	1050
36	602	1025
37	614	1002
38	625	978
39	633	949
40	644	926
41	654	903
42	665	881
43	672	855
44	683	835
45	694	815
46	705	795
47	715	775
48	726	756
49	737	737
50	747	718
51	759	700
52	769	682
53	780	664
54	791	647
55	803	631
56	814	614
57	825	597
58	837	582
59	848	565
60	861	550
61	872	534
62	882	518
63	894	503
64	907	488
65	917	472
66	927	457
67	938	441
68	948	426
69	960	411
70	971	396
71	981	381
72	992	367
73	1004	352
74	1014	338
75	1025	323
76	1036	309
77	1046	295
78	1057	281
79	1068	267
80	1078	252
81	1090	239
82	1101	225
83	1111	211
84	1126	198
85	1144	186
86	1171	175
87	1184	161
88	1194	147
89	1206	134
90	1216	120
91	1225	106
92	1237	93
93	1249	79
94	1260	66
95	1272	53
96	1284	39
97	1294	26
98	1306	13
99	1317	0
